code,date,comments,likes,caption,image
BJpcjnEg69K,1472377031,4,306,Kde si užívate posledný augustový víkend vy? 😊 #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #dnescitam,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.133.1066.1066/14156369_297055353986299_256596727_n.jpg?ig_cache_key=MTMyNjcxNzE1NzY3Mjk4ODQ5MA%3D%3D.2.c
BJkbpt6AzNH,1472208785,9,322,"Už viete, ktorú knihu budete čítať na Deň neprečítaných kníh? 😊 #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #dnk #dnk2016 #denneprecitanychknih #knihkupectvo",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/14128868_578036272404442_1662614576_n.jpg?ig_cache_key=MTMyNTMwNTgwNDM5OTc4NDc3NQ%3D%3D.2.c
BJiUEKIgr4z,1472137698,3,339,"Aj tento rok oslavujeme Deň neprečítaných kníh! Pripravili sme pre vás krátke videá, v ktorých vás presvedčíme, že treba dať šancu knihám, ktoré ste už raz odložili. Tak, ako to spravil náš Michal. Nájdete ich na www.dnk.sk a pozor, bude aj súťaž! 🎥📚 #dnk2016 #denneprecitanychknih2016 #knihy #knihomoli #martinussk",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13658481_641080492760374_1439596545_n.jpg?ig_cache_key=MTMyNDcwOTQ4NzA4ODY4MDQ5OQ%3D%3D.2
BJfTwfOAjsc,1472036874,4,156,"Druhý detektívny román od vynikajúceho autora je tu! Komu sa páčil debut Posledný pútnik, nech skúsi Peklo je otvorené. P.S. Ak všetko dobre dopadne, autora privítame budúci rok v našom kníhkupectve na Obchodnej! 📖 #tipnaknihu #knihy #martinussk #knihomoli #gardsveen #peklojeotvorene #vydavatelstvopremedia",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14026719_638851386282824_1120912048_n.jpg?ig_cache_key=MTMyMzg2MzcxMDQwOTgzMzI0NA%3D%3D.2
BJc2yNSAqjk,1471954574,0,252,"Sojčák je výborný komiks. Melancholický, temný, smutný, ale neskutočne silný príbeh vás určite dostane! 📖 #tipnaknihu #martinussk #knihy #knihomoli #sojcak #jaakoahonen #nakladatelstviargo",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13658487_138332796612784_1526139342_n.jpg?ig_cache_key=MTMyMzE3MzMzNTI4NjMyNzUyNA%3D%3D.2
BJS_pRLgrlb,1471623676,7,375,A vy čo plánujete robiť cez víkend? My toto 😍☕️🍰📖 #vikend #viaccasunacitanie #piatokjeuzskorovikend #knihy #martinussk #knihomoli #kavaknihakolac,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14033454_1160068694059873_1080996670_n.jpg?ig_cache_key=MTMyMDM5NzU1MzY0ODQ0OTg4Mw%3D%3D.2
BJQBquKAIzb,1471524073,3,240,"Máte už nášho Vševeda? Pripravte sa na nový školský rok, kúpte si učebnice so zľavou a získajte túto šikovnú pomôcku a pekné záložky! Na webe aj v kníhkupectvách a len do vyčerpania zásob 📚 #vseved #martinussk #skolasablizi #zlavynaucebnice #tosaoplati",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14033490_320037355053546_1641041368_n.jpg?ig_cache_key=MTMxOTU2MjAyNDY0NDAyMTQ2Nw%3D%3D.2
BJM5R0UgPJT,1471419011,2,449,"Máme výhercov súťaže o záložky @bookmarklovers.cz! Ďakujeme všetkým, ktorí poslali fotky a gratulujeme: @patricia.golianova @golgotans @le_adelaide 🙏 Pošlite nám do správy vaše údaje- celé meno a adresu, aby sme vám vedeli záložky doručiť 😊 Ostatní nezúfajte a aj naďalej používajte hashtag #citamsmartinusom, občas niekoho odmeníme peknou knižkou 📚 #sutaz #martinussk #vyhercovia #zalozky",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14026489_1671454346508336_423253766_n.jpg?ig_cache_key=MTMxODY4MDcwMzk3MzUxOTk1NQ%3D%3D.2
BJKU64Kgjy4,1471332840,21,355,"Naša Zuzka má tak rada Harryho Pottera, že si nechala vytetovať symbol darov smrti na ruku! A už sa nevie dočkať, kedy si prečíta slovenské vydanie novej Potterovky ⚡️ Predpredaj je spustený, objednajte si ju aj vy už teraz a získate zľavu 20% a super špeciálnu záložku 💫 #harrypotter #predpredaj #harrypotterworld #martinussk #knihomoli #darysmrti #novyharrypotter #harrypotteraprekliatedieta",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13651838_1241860602520862_964918131_n.jpg?ig_cache_key=MTMxNzk1Nzg0NzkyNTAxMzY4OA%3D%3D.2
BJI8TwbA7Xf,1471286382,10,222,"Muklovia, pripravte sa na dnešnú polnoc: o 0:01 spúšťame predpredaj 8. príbehu Harryho Pottera! Kiežby sme mohli cestovať v čase a bola už polnoc! ;-) #martinus #martinussk #knihy #kniha #novyharrypotter #harrypotter #radost #sialenstvo #najlepsie #aaaaaaaaaaaaaaaa",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/e35/c257.0.565.565/13714223_177224436032809_1241476547_n.jpg?ig_cache_key=MTMxNzU2ODEzMTQ1OTQyOTg1NQ%3D%3D.2.c
